projectRcn,projectID,projectAcronym,role,id,name,shortName,activityType,endOfParticipation,ecContribution,country,street,city,postCode,organizationUrl,vatNumber,contactForm,contactType,contactTitle,contactFirstNames,contactLastNames,contactFunction,contactTelephoneNumber,contactFaxNumber
223596,821016,REGREEN,participant,941290717,ZELENA ENERGETSKA ZADRUGA ZA USLUGE,ZEZ,OTH,false,178901.25,HR,BUKOVACKA CESTA 110,GRAD ZAGREB,10000,NA,HR13278092880,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=941290717&projectId=821016&programId=31045243,NA,NA,NA,NA,NA,NA,NA
223596,821016,REGREEN,participant,929735786,GRAD VELIKA GORICA,GRAD V. GORICA,HES,false,112310,HR,TRG KRALJA TOMISLAVA 34,VELIKA GORICA,10410,NA,HR75834963344,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=929735786&projectId=821016&programId=31045243,NA,NA,NA,NA,NA,NA,NA
223282,824509,Block.IS,participant,951533141,POSLOVNO UDRUZENJE VOJVODJANSKI IKT KLASTER,VOICT,HES,false,3006500,RS,TRG DOSITEJA OBRADOVICA 6,NOVI SAD,21000,NA,RS106621203,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=951533141&projectId=824509&programId=31045243,NA,NA,NA,NA,NA,NA,NA
223282,824509,Block.IS,participant,933205185,INOSENS DOO NOVI SAD,INOSENS,OTH,false,163275,RS,VOJVODE MISICA 13 1 1,NOVI SAD,21000,NA,RS108555520,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=933205185&projectId=824509&programId=31045243,NA,NA,NA,NA,NA,NA,NA
223207,817501,BESTMAP,participant,928575472,BIOSENSE INSTITUTE - RESEARCH AND DEVELOPMENT INSTITUTE FOR INFORMATION TECHNOLOGIES IN BIOSYSTEMS,BIOS,HES,false,256875,RS,DR ZORANA DINDICA STREET 1,NOVI SAD,21000,www.biosense.rs,RS109015886,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=928575472&projectId=817501&programId=31045243,NA,NA,NA,NA,NA,NA,NA
223273,821282,SHELTER,participant,932322582,INTERNATIONAL SAVA RIVER BASIN COMMISSION,SAVA,HES,false,209365,HR,KNEZA BRANIMIRA 29,ZAGREB,10000,NA,HR82576916840,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=932322582&projectId=821282&programId=31045243,NA,NA,NA,NA,NA,NA,NA
223271,821242,CLEARING HOUSE,participant,994239816,HRVATSKI SUMARSKI INSTITUT,CFRI,HES,false,36562.5,HR,CVJETNO NASELJE 41,JASTREBARSKO,10450,www.sumins.hr,HR13579392023,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=994239816&projectId=821242&programId=31045243,NA,NA,NA,NA,NA,NA,NA
223128,833870,PERCEPTIONS,participant,927578603,KOSOVAR CENTRE FOR SECURITY STUDIES,KCSS,REC,false,47812.5,XK,SYLEJMAN VOKSHI BLOCK B ENTRY 2-1,PRISHTINA,10000,NA,XK600278685,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=927578603&projectId=833870&programId=31045243,NA,NA,NA,NA,NA,NA,NA
194361,645690,TraSaCu,participant,954870232,UNIVERSITETI POLIS SHPK,U_POLIS,HES,false,13500,AL,AUTOSTRADA TIRANE DURRES KILOMETRI 5 KASHAR,TIRANA,1051,NA,ALK62308008S,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=954870232&projectId=645690&programId=31045243,NA,NA,NA,NA,NA,NA,NA
194361,645690,TraSaCu,participant,941177712,CO-PLAN INSTITUTI PER ZHVILLIMIN EHABIITATIT,"Co-PLAN, Institute for Habitat Development",OTH,false,27000,AL,RRUGA BYLIS 12 AUTOSTRADA TIRANE DURRES KM 5 KASHAR,TIRANA,1051,NA,ALJ72317004I,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=941177712&projectId=645690&programId=31045243,NA,NA,NA,NA,NA,NA,NA
